Rank,GPA,People,Top%
1,4.30,100,0.0%
101,4.29,19,33.3%
120,4.28,5,39.7%
125,4.27,3,41.3%
128,4.25,1,42.3%
129,4.24,5,42.7%
134,4.23,6,44.3%
140,4.22,3,46.3%
143,4.21,2,47.3%
145,4.20,3,48.0%
148,4.19,2,49.0%
150,4.18,1,49.7%
151,2.33,1,50.0%
152,2.30,1,50.3%
153,2.29,1,50.7%
154,2.26,2,51.0%
156,2.25,3,51.7%
159,2.24,1,52.7%
160,2.23,1,53.0%
161,2.22,2,53.3%
163,2.21,5,54.0%
168,2.20,7,55.7%
175,2.19,4,58.0%
179,2.17,8,59.3%
187,2.16,15,62.0%
202,2.15,12,67.0%
214,2.14,4,71.0%
218,2.13,6,72.3%
224,2.12,17,74.3%
241,2.11,11,80.0%
252,2.10,3,83.7%
255,2.08,3,84.7%
258,2.07,8,85.7%
266,2.06,2,88.3%
268,2.05,2,89.0%
270,2.04,2,89.7%
272,2.03,2,90.3%
274,2.02,2,91.0%
276,1.98,4,91.7%
280,1.97,2,93.0%
282,1.96,1,93.7%
283,1.94,7,94.0%
290,1.93,3,96.3%
293,1.92,2,97.3%
295,1.91,2,98.0%
297,1.88,2,98.7%
299,1.85,1,99.3%
300,1.84,1,99.7%
