Rank,GPA,People,Top%
1,2.40,10,0.0%
11,2.39,13,3.3%
24,2.38,11,7.7%
35,2.37,7,11.3%
42,2.35,18,13.7%
60,2.34,23,19.7%
83,2.33,19,27.3%
102,2.32,11,33.7%
113,2.31,15,37.3%
128,2.30,30,42.3%
158,2.29,25,52.3%
183,2.28,16,60.7%
199,2.27,4,66.0%
203,2.26,14,67.3%
217,2.25,15,72.0%
232,2.24,21,77.0%
253,2.23,8,84.0%
261,2.22,5,86.7%
266,2.21,11,88.3%
277,2.20,3,92.0%
280,2.19,2,93.0%
282,2.16,2,93.7%
284,2.15,5,94.3%
289,2.14,1,96.0%
290,2.13,3,96.3%
293,2.12,1,97.3%
294,2.11,2,97.7%
296,2.08,2,98.3%
298,2.07,1,99.0%
299,2.06,2,99.3%
