Rank,GPA,People,Top%
1,4.29,1,0.0%
2,4.15,1,0.3%
3,4.14,3,0.7%
6,4.13,1,1.7%
7,4.12,2,2.0%
9,4.11,3,2.7%
12,4.10,2,3.7%
14,4.07,2,4.3%
16,4.05,1,5.0%
17,4.04,2,5.3%
19,4.03,1,6.0%
20,4.02,4,6.3%
24,4.01,5,7.7%
29,4.00,2,9.3%
31,3.99,1,10.0%
32,3.98,3,10.3%
35,3.97,2,11.3%
37,3.96,4,12.0%
41,3.94,2,13.3%
43,3.93,2,14.0%
45,3.92,5,14.7%
50,3.91,2,16.3%
52,3.89,3,17.0%
55,3.88,4,18.0%
59,3.87,3,19.3%
62,3.86,2,20.3%
64,3.85,4,21.0%
68,3.84,4,22.3%
72,3.83,2,23.7%
74,3.82,1,24.3%
75,3.80,4,24.7%
79,3.79,8,26.0%
87,3.78,6,28.7%
93,3.77,2,30.7%
95,3.76,4,31.3%
99,3.75,4,32.7%
103,3.74,2,34.0%
105,3.73,5,34.7%
110,3.71,4,36.3%
114,3.70,5,37.7%
119,3.69,7,39.3%
126,3.68,1,41.7%
127,3.67,2,42.0%
129,3.66,14,42.7%
143,3.65,4,47.3%
147,3.64,3,48.7%
150,3.62,3,49.7%
153,3.61,8,50.7%
161,3.60,5,53.3%
166,3.59,2,55.0%
168,3.58,4,55.7%
172,3.57,4,57.0%
176,3.56,6,58.3%
182,3.55,3,60.3%
185,3.53,5,61.3%
190,3.52,5,63.0%
195,3.51,1,64.7%
196,3.50,3,65.0%
199,3.48,3,66.0%
202,3.47,2,67.0%
204,3.46,6,67.7%
210,3.45,1,69.7%
211,3.44,5,70.0%
216,3.43,5,71.7%
221,3.42,3,73.3%
224,3.41,1,74.3%
225,3.39,3,74.7%
228,3.38,6,75.7%
234,3.37,8,77.7%
242,3.36,3,80.3%
245,3.35,3,81.3%
248,3.34,7,82.3%
255,3.33,8,84.7%
263,3.32,1,87.3%
264,3.30,1,87.7%
265,3.29,1,88.0%
266,3.28,4,88.3%
270,3.27,1,89.7%
271,3.26,1,90.0%
272,3.25,5,90.3%
277,3.24,2,92.0%
279,3.21,1,92.7%
280,3.20,3,93.0%
283,3.19,2,94.0%
285,3.18,1,94.7%
286,3.17,2,95.0%
288,3.15,1,95.7%
289,3.14,1,96.0%
290,3.11,2,96.3%
292,3.10,2,97.0%
294,3.09,1,97.7%
295,3.06,1,98.0%
296,3.05,1,98.3%
297,3.02,1,98.7%
298,3.01,1,99.0%
299,2.99,1,99.3%
300,2.58,1,99.7%
