Rank,GPA,People,Top%
1,3.92,1,0.0%
2,3.88,2,0.3%
4,3.85,1,1.0%
5,3.84,2,1.3%
7,3.83,1,2.0%
8,3.82,2,2.3%
10,3.79,4,3.0%
14,3.77,1,4.3%
15,3.76,4,4.7%
19,3.75,10,6.0%
29,3.74,3,9.3%
32,3.73,1,10.3%
33,3.71,9,10.7%
42,3.70,9,13.7%
51,3.69,17,16.7%
68,3.68,7,22.3%
75,3.67,13,24.7%
88,3.66,21,29.0%
109,3.65,22,36.0%
131,3.64,11,43.3%
142,3.62,15,47.0%
157,3.61,32,52.0%
189,3.60,34,62.7%
223,3.59,12,74.0%
235,3.57,12,78.0%
247,3.56,10,82.0%
257,3.55,8,85.3%
265,3.54,2,88.0%
267,3.53,4,88.7%
271,3.52,5,90.0%
276,3.51,7,91.7%
283,3.50,5,94.0%
288,3.48,5,95.7%
293,3.47,3,97.3%
296,3.46,2,98.3%
298,3.45,2,99.0%
300,3.41,1,99.7%
