Rank,GPA,People,Top%
1,4.30,2,0.0%
3,4.29,2,0.7%
5,4.27,2,1.3%
7,4.24,1,2.0%
8,4.23,1,2.3%
9,4.21,3,2.7%
12,4.20,1,3.7%
13,4.19,2,4.0%
15,4.18,2,4.7%
17,4.16,4,5.3%
21,4.15,5,6.7%
26,4.14,4,8.3%
30,4.13,2,9.7%
32,4.12,6,10.3%
38,4.11,13,12.3%
51,4.10,8,16.7%
59,4.09,2,19.3%
61,4.08,2,20.0%
63,4.07,16,20.7%
79,4.06,29,26.0%
108,4.05,29,35.7%
137,4.04,15,45.3%
152,4.03,19,50.3%
171,4.02,40,56.7%
211,4.01,30,70.0%
241,4.00,18,80.0%
259,3.99,2,86.0%
261,3.98,5,86.7%
266,3.97,13,88.3%
279,3.96,7,92.7%
286,3.95,7,95.0%
293,3.94,3,97.3%
296,3.93,1,98.3%
297,3.92,2,98.7%
299,3.76,1,99.3%
300,3.65,1,99.7%
