Rank,GPA,People,Top%
1,4.20,1,0.0%
2,4.19,1,0.3%
3,4.18,2,0.7%
5,4.15,3,1.3%
8,4.13,1,2.3%
9,4.12,1,2.7%
10,4.11,3,3.0%
13,4.10,3,4.0%
16,4.09,1,5.0%
17,4.08,1,5.3%
18,4.06,8,5.7%
26,4.05,5,8.3%
31,4.04,4,10.0%
35,4.02,5,11.3%
40,4.01,10,13.0%
50,4.00,5,16.3%
55,3.99,1,18.0%
56,3.97,4,18.3%
60,3.96,6,19.7%
66,3.95,1,21.7%
67,3.94,1,22.0%
68,3.93,7,22.3%
75,3.92,6,24.7%
81,3.91,6,26.7%
87,3.89,1,28.7%
88,3.88,5,29.0%
93,3.87,8,30.7%
101,3.86,5,33.3%
106,3.85,1,35.0%
107,3.84,17,35.3%
124,3.83,9,41.0%
133,3.82,7,44.0%
140,3.80,1,46.3%
141,3.79,13,46.7%
154,3.78,12,51.0%
166,3.77,4,55.0%
170,3.75,9,56.3%
179,3.74,5,59.3%
184,3.73,5,61.0%
189,3.72,1,62.7%
190,3.70,5,63.0%
195,3.69,6,64.7%
201,3.68,4,66.7%
205,3.66,7,68.0%
212,3.64,6,70.3%
218,3.63,1,72.3%
219,3.62,1,72.7%
220,3.61,9,73.0%
229,3.60,2,76.0%
231,3.59,3,76.7%
234,3.58,1,77.7%
235,3.57,4,78.0%
239,3.56,5,79.3%
244,3.55,6,81.0%
250,3.52,5,83.0%
255,3.51,1,84.7%
256,3.50,2,85.0%
258,3.49,1,85.7%
259,3.47,5,86.0%
264,3.46,1,87.7%
265,3.45,2,88.0%
267,3.43,2,88.7%
269,3.42,2,89.3%
271,3.40,1,90.0%
272,3.38,4,90.3%
276,3.37,3,91.7%
279,3.36,4,92.7%
283,3.34,3,94.0%
286,3.33,1,95.0%
287,3.31,1,95.3%
288,3.29,1,95.7%
289,3.28,1,96.0%
290,3.27,1,96.3%
291,3.25,1,96.7%
292,3.23,1,97.0%
293,3.20,1,97.3%
294,3.19,3,97.7%
297,3.18,1,98.7%
298,3.15,1,99.0%
299,3.09,2,99.3%
