Rank,GPA,People,Top%
1,4.24,2,0.0%
3,4.22,1,0.7%
4,4.21,2,1.0%
6,4.20,3,1.7%
9,4.19,3,2.7%
12,4.18,2,3.7%
14,4.14,3,4.3%
17,4.13,1,5.3%
18,4.12,1,5.7%
19,4.11,3,6.0%
22,4.10,2,7.0%
24,4.09,1,7.7%
25,4.08,1,8.0%
26,4.07,1,8.3%
27,4.06,3,8.7%
30,4.05,6,9.7%
36,4.04,2,11.7%
38,4.03,1,12.3%
39,4.02,5,12.7%
44,4.01,4,14.3%
48,4.00,1,15.7%
49,3.99,1,16.0%
50,3.98,3,16.3%
53,3.97,5,17.3%
58,3.96,2,19.0%
60,3.95,3,19.7%
63,3.94,3,20.7%
66,3.93,9,21.7%
75,3.92,4,24.7%
79,3.91,2,26.0%
81,3.90,1,26.7%
82,3.89,6,27.0%
88,3.88,2,29.0%
90,3.87,4,29.7%
94,3.86,1,31.0%
95,3.85,2,31.3%
97,3.84,5,32.0%
102,3.83,2,33.7%
104,3.82,2,34.3%
106,3.80,2,35.0%
108,3.79,2,35.7%
110,3.78,4,36.3%
114,3.77,2,37.7%
116,3.76,1,38.3%
117,3.75,3,38.7%
120,3.74,2,39.7%
122,3.73,1,40.3%
123,3.71,2,40.7%
125,3.70,4,41.3%
129,3.69,5,42.7%
134,3.68,4,44.3%
138,3.67,11,45.7%
149,3.66,3,49.3%
152,3.65,3,50.3%
155,3.64,2,51.3%
157,3.62,3,52.0%
160,3.61,5,53.0%
165,3.60,4,54.7%
169,3.59,3,56.0%
172,3.58,3,57.0%
175,3.57,4,58.0%
179,3.56,4,59.3%
183,3.55,2,60.7%
185,3.54,1,61.3%
186,3.53,2,61.7%
188,3.52,4,62.3%
192,3.51,4,63.7%
196,3.50,1,65.0%
197,3.48,2,65.3%
199,3.47,7,66.0%
206,3.46,8,68.3%
214,3.45,2,71.0%
216,3.44,1,71.7%
217,3.43,7,72.0%
224,3.42,3,74.3%
227,3.41,1,75.3%
228,3.40,1,75.7%
229,3.38,10,76.0%
239,3.37,11,79.3%
250,3.36,2,83.0%
252,3.35,1,83.7%
253,3.34,6,84.0%
259,3.33,3,86.0%
262,3.32,1,87.0%
263,3.30,3,87.3%
266,3.29,3,88.3%
269,3.28,2,89.3%
271,3.27,2,90.0%
273,3.25,2,90.7%
275,3.24,1,91.3%
276,3.23,1,91.7%
277,3.20,2,92.0%
279,3.19,1,92.7%
280,3.18,4,93.0%
284,3.16,5,94.3%
289,3.15,1,96.0%
290,3.14,1,96.3%
291,3.12,2,96.7%
293,3.11,2,97.3%
295,3.10,1,98.0%
296,3.07,1,98.3%
297,2.98,1,98.7%
298,2.92,1,99.0%
299,2.81,1,99.3%
300,2.47,1,99.7%
