Rank,GPA,People,Top%
1,4.14,1,0.0%
2,4.13,1,0.3%
3,4.11,1,0.7%
4,4.09,1,1.0%
5,4.07,1,1.3%
6,4.03,2,1.7%
8,4.01,1,2.3%
9,3.98,1,2.7%
10,3.97,1,3.0%
11,3.96,3,3.3%
14,3.95,1,4.3%
15,3.94,2,4.7%
17,3.92,2,5.3%
19,3.89,1,6.0%
20,3.88,8,6.3%
28,3.87,3,9.0%
31,3.85,2,10.0%
33,3.84,7,10.7%
40,3.83,2,13.0%
42,3.82,6,13.7%
48,3.80,6,15.7%
54,3.79,6,17.7%
60,3.78,6,19.7%
66,3.77,4,21.7%
70,3.76,5,23.0%
75,3.75,11,24.7%
86,3.74,11,28.3%
97,3.73,4,32.0%
101,3.71,9,33.3%
110,3.70,14,36.3%
124,3.69,13,41.0%
137,3.68,3,45.3%
140,3.67,10,46.3%
150,3.66,24,49.7%
174,3.65,18,57.7%
192,3.64,10,63.7%
202,3.62,14,67.0%
216,3.61,23,71.7%
239,3.60,10,79.3%
249,3.59,8,82.7%
257,3.58,3,85.3%
260,3.57,10,86.3%
270,3.56,10,89.7%
280,3.55,5,93.0%
285,3.54,3,94.7%
288,3.53,2,95.7%
290,3.52,3,96.3%
293,3.51,2,97.3%
295,3.48,1,98.0%
296,3.47,2,98.3%
298,3.46,1,99.0%
299,3.45,1,99.3%
300,3.44,1,99.7%
