Rank,GPA,People,Top%
1,4.30,2,0.0%
3,4.29,4,0.7%
7,4.28,2,2.0%
9,4.27,3,2.7%
12,4.25,3,3.7%
15,4.24,5,4.7%
20,4.23,4,6.3%
24,4.22,4,7.7%
28,4.21,15,9.0%
43,4.20,23,14.0%
66,4.19,21,21.7%
87,4.18,9,28.7%
96,4.17,3,31.7%
99,4.16,16,32.7%
115,4.15,31,38.0%
146,4.14,19,48.3%
165,4.13,11,54.7%
176,4.12,9,58.3%
185,4.11,18,61.3%
203,4.10,11,67.3%
214,4.09,10,71.0%
224,4.07,3,74.3%
227,4.06,12,75.3%
239,4.05,10,79.3%
249,4.04,4,82.7%
253,4.03,7,84.0%
260,4.02,7,86.3%
267,4.01,10,88.7%
277,4.00,4,92.0%
281,3.99,3,93.3%
284,3.98,2,94.3%
286,3.97,5,95.0%
291,3.96,6,96.7%
297,3.95,3,98.7%
300,3.93,1,99.7%
