Rank,GPA,People,Top%
1,4.30,119,0.0%
120,4.29,8,39.7%
128,4.28,3,42.3%
131,2.44,2,43.3%
133,2.43,8,44.0%
141,2.42,2,46.7%
143,2.41,2,47.3%
145,2.40,18,48.0%
163,2.39,20,54.0%
183,2.38,20,60.7%
203,2.37,7,67.3%
210,2.35,12,69.7%
222,2.34,13,73.7%
235,2.33,12,78.0%
247,2.32,9,82.0%
256,2.31,6,85.0%
262,2.30,6,87.0%
268,2.29,12,89.0%
280,2.28,1,93.0%
281,2.27,1,93.3%
282,2.26,1,93.7%
283,2.25,2,94.0%
285,2.24,1,94.7%
286,2.23,1,95.0%
287,2.22,1,95.3%
288,2.19,2,95.7%
290,2.17,2,96.3%
292,2.16,2,97.0%
294,2.15,4,97.7%
298,2.11,1,99.0%
299,2.10,1,99.3%
300,2.08,1,99.7%
