Rank,GPA,People,Top%
1,4.30,5,0.0%
6,4.29,7,1.7%
13,4.28,1,4.0%
14,4.24,4,4.3%
18,4.23,4,5.7%
22,4.21,1,7.0%
23,4.20,1,7.3%
24,4.18,3,7.7%
27,4.16,3,8.7%
30,4.15,3,9.7%
33,4.13,1,10.7%
34,4.11,3,11.0%
37,4.10,3,12.0%
40,4.09,2,13.0%
42,4.06,3,13.7%
45,4.05,1,14.7%
46,4.04,2,15.0%
48,4.03,2,15.7%
50,4.02,6,16.3%
56,4.01,2,18.3%
58,4.00,2,19.0%
60,3.98,3,19.7%
63,3.97,6,20.7%
69,3.96,2,22.7%
71,3.95,3,23.3%
74,3.94,2,24.3%
76,3.93,6,25.0%
82,3.92,4,27.0%
86,3.91,2,28.3%
88,3.89,1,29.0%
89,3.88,2,29.3%
91,3.87,3,30.0%
94,3.86,3,31.0%
97,3.85,7,32.0%
104,3.84,3,34.3%
107,3.83,7,35.3%
114,3.80,2,37.7%
116,3.79,4,38.3%
120,3.78,3,39.7%
123,3.77,3,40.7%
126,3.76,2,41.7%
128,3.75,7,42.3%
135,3.74,3,44.7%
138,3.73,1,45.7%
139,3.71,5,46.0%
144,3.70,2,47.7%
146,3.69,4,48.3%
150,3.68,1,49.7%
151,3.67,2,50.0%
153,3.66,7,50.7%
160,3.65,4,53.0%
164,3.64,3,54.3%
167,3.61,5,55.3%
172,3.60,10,57.0%
182,3.59,3,60.3%
185,3.58,1,61.3%
186,3.57,3,61.7%
189,3.56,5,62.7%
194,3.55,4,64.3%
198,3.54,1,65.7%
199,3.53,1,66.0%
200,3.52,4,66.3%
204,3.51,4,67.7%
208,3.50,1,69.0%
209,3.48,1,69.3%
210,3.47,6,69.7%
216,3.46,7,71.7%
223,3.45,4,74.0%
227,3.44,2,75.3%
229,3.43,8,76.0%
237,3.42,5,78.7%
242,3.41,1,80.3%
243,3.40,1,80.7%
244,3.39,3,81.0%
247,3.38,9,82.0%
256,3.37,4,85.0%
260,3.36,4,86.3%
264,3.35,2,87.7%
266,3.34,2,88.3%
268,3.33,2,89.0%
270,3.32,1,89.7%
271,3.29,5,90.0%
276,3.28,5,91.7%
281,3.26,1,93.3%
282,3.25,3,93.7%
285,3.24,1,94.7%
286,3.20,2,95.0%
288,3.19,2,95.7%
290,3.18,1,96.3%
291,3.16,1,96.7%
292,3.15,1,97.0%
293,3.11,1,97.3%
294,3.07,2,97.7%
296,3.06,2,98.3%
298,2.98,1,99.0%
299,2.89,1,99.3%
300,2.78,1,99.7%
