Rank,GPA,People,Top%
1,4.29,1,0.0%
2,4.20,1,0.3%
3,4.02,2,0.7%
5,3.99,1,1.3%
6,3.96,1,1.7%
7,3.93,2,2.0%
9,3.92,1,2.7%
10,3.91,2,3.0%
12,3.89,2,3.7%
14,3.88,1,4.3%
15,3.87,4,4.7%
19,3.86,2,6.0%
21,3.85,2,6.7%
23,3.84,9,7.3%
32,3.83,6,10.3%
38,3.82,2,12.3%
40,3.80,2,13.0%
42,3.79,9,13.7%
51,3.78,6,16.7%
57,3.77,4,18.7%
61,3.76,7,20.0%
68,3.75,14,22.3%
82,3.74,13,27.0%
95,3.73,3,31.3%
98,3.71,7,32.3%
105,3.70,10,34.7%
115,3.69,7,38.0%
122,3.68,1,40.3%
123,3.67,9,40.7%
132,3.66,15,43.7%
147,3.65,14,48.7%
161,3.64,11,53.3%
172,3.62,20,57.0%
192,3.61,26,63.7%
218,3.60,19,72.3%
237,3.59,10,78.7%
247,3.58,11,82.0%
258,3.57,17,85.7%
275,3.56,14,91.3%
289,3.55,4,96.0%
293,3.54,1,97.3%
294,3.53,2,97.7%
296,3.51,2,98.3%
298,3.50,1,99.0%
299,3.48,2,99.3%
