Rank,GPA,People,Top%
1,4.30,1,0.0%
2,4.29,7,0.3%
9,4.28,2,2.7%
11,4.24,1,3.3%
12,4.23,2,3.7%
14,4.22,2,4.3%
16,4.20,3,5.0%
19,4.19,4,6.0%
23,4.18,3,7.3%
26,4.17,1,8.3%
27,4.15,7,8.7%
34,4.14,8,11.0%
42,4.13,1,13.7%
43,4.11,6,14.0%
49,4.10,5,16.0%
54,4.09,5,17.7%
59,4.07,1,19.3%
60,4.06,10,19.7%
70,4.05,6,23.0%
76,4.04,6,25.0%
82,4.02,10,27.0%
92,4.01,7,30.3%
99,4.00,1,32.7%
100,3.97,11,33.0%
111,3.96,10,36.7%
121,3.95,5,40.0%
126,3.94,2,41.7%
128,3.93,9,42.3%
137,3.92,11,45.3%
148,3.91,5,49.0%
153,3.89,1,50.7%
154,3.88,8,51.0%
162,3.87,4,53.7%
166,3.86,2,55.0%
168,3.85,2,55.7%
170,3.84,10,56.3%
180,3.83,6,59.7%
186,3.82,3,61.7%
189,3.81,1,62.7%
190,3.80,1,63.0%
191,3.79,5,63.3%
196,3.78,6,65.0%
202,3.77,2,67.0%
204,3.75,9,67.7%
213,3.74,6,70.7%
219,3.73,7,72.7%
226,3.70,1,75.0%
227,3.69,4,75.3%
231,3.68,4,76.7%
235,3.67,1,78.0%
236,3.66,6,78.3%
242,3.65,5,80.3%
247,3.64,2,82.0%
249,3.61,6,82.7%
255,3.60,2,84.7%
257,3.59,2,85.3%
259,3.58,1,86.0%
260,3.57,7,86.3%
267,3.56,1,88.7%
268,3.55,1,89.0%
269,3.52,3,89.3%
272,3.51,1,90.3%
273,3.50,1,90.7%
274,3.47,1,91.0%
275,3.46,2,91.3%
277,3.43,3,92.0%
280,3.42,2,93.0%
282,3.41,2,93.7%
284,3.38,1,94.3%
285,3.37,1,94.7%
286,3.36,1,95.0%
287,3.34,1,95.3%
288,3.32,1,95.7%
289,3.29,2,96.0%
291,3.27,2,96.7%
293,3.25,1,97.3%
294,3.24,1,97.7%
295,3.23,1,98.0%
296,3.21,1,98.3%
297,3.20,1,98.7%
298,3.15,2,99.0%
300,3.11,1,99.7%
