Rank,GPA,People,Top%
1,2.40,1,0.0%
2,2.39,8,0.3%
10,2.38,2,3.0%
12,2.37,2,3.7%
14,2.35,6,4.3%
20,2.34,15,6.3%
35,2.33,7,11.3%
42,2.32,4,13.7%
46,2.31,6,15.0%
52,2.30,29,17.0%
81,2.29,13,26.7%
94,2.28,6,31.0%
100,2.27,1,33.0%
101,2.26,10,33.3%
111,2.25,7,36.7%
118,2.24,12,39.0%
130,2.23,1,43.0%
131,2.22,1,43.3%
132,2.21,5,43.7%
137,2.20,4,45.3%
141,2.19,1,46.7%
142,2.17,1,47.0%
143,2.15,1,47.3%
144,2.13,2,47.7%
146,2.12,1,48.3%
147,2.11,3,48.7%
150,2.08,1,49.7%
151,2.04,3,50.0%
154,2.03,6,51.0%
160,2.02,7,53.0%
167,2.01,4,55.3%
171,2.00,1,56.7%
172,1.99,5,57.0%
177,1.98,14,58.7%
191,1.97,11,63.3%
202,1.96,5,67.0%
207,1.95,7,68.7%
214,1.94,26,71.0%
240,1.93,13,79.7%
253,1.92,4,84.0%
257,1.91,5,85.3%
262,1.90,4,87.0%
266,1.89,16,88.3%
282,1.88,7,93.7%
289,1.87,6,96.0%
295,1.86,2,98.0%
297,1.85,1,98.7%
298,1.84,3,99.0%
