Rank,GPA,People,Top%
1,4.30,2,0.0%
3,4.29,2,0.7%
5,4.25,1,1.3%
6,4.24,1,1.7%
7,4.23,1,2.0%
8,4.22,1,2.3%
9,4.20,1,2.7%
10,4.19,1,3.0%
11,4.18,1,3.3%
12,4.16,1,3.7%
13,4.14,3,4.0%
16,4.13,2,5.0%
18,4.12,3,5.7%
21,4.11,4,6.7%
25,4.10,4,8.0%
29,4.09,2,9.3%
31,4.08,1,10.0%
32,4.07,1,10.3%
33,4.06,1,10.7%
34,4.05,6,11.0%
40,4.04,2,13.0%
42,4.03,3,13.7%
45,4.02,2,14.7%
47,4.01,3,15.3%
50,3.98,2,16.3%
52,3.97,7,17.0%
59,3.96,3,19.3%
62,3.95,4,20.3%
66,3.93,4,21.7%
70,3.92,1,23.0%
71,3.91,1,23.3%
72,3.90,1,23.7%
73,3.89,3,24.0%
76,3.88,8,25.0%
84,3.87,2,27.7%
86,3.86,1,28.3%
87,3.85,4,28.7%
91,3.84,3,30.0%
94,3.83,7,31.0%
101,3.82,1,33.3%
102,3.80,2,33.7%
104,3.79,4,34.3%
108,3.78,6,35.7%
114,3.77,2,37.7%
116,3.76,5,38.3%
121,3.75,3,40.0%
124,3.74,6,41.0%
130,3.73,1,43.0%
131,3.71,1,43.3%
132,3.70,2,43.7%
134,3.67,1,44.3%
135,3.66,5,44.7%
140,3.65,5,46.3%
145,3.64,3,48.0%
148,3.62,3,49.0%
151,3.61,6,50.0%
157,3.60,4,52.0%
161,3.58,2,53.3%
163,3.57,9,54.0%
172,3.56,9,57.0%
181,3.55,3,60.0%
184,3.53,2,61.0%
186,3.52,6,61.7%
192,3.51,2,63.7%
194,3.50,3,64.3%
197,3.48,5,65.3%
202,3.47,3,67.0%
205,3.46,3,68.0%
208,3.45,1,69.0%
209,3.44,1,69.3%
210,3.43,5,69.7%
215,3.42,2,71.3%
217,3.41,3,72.0%
220,3.39,3,73.0%
223,3.38,12,74.0%
235,3.37,9,78.0%
244,3.36,4,81.0%
248,3.35,1,82.3%
249,3.34,6,82.7%
255,3.33,3,84.7%
258,3.32,4,85.7%
262,3.30,1,87.0%
263,3.29,6,87.3%
269,3.28,2,89.3%
271,3.27,1,90.0%
272,3.25,8,90.3%
280,3.24,2,93.0%
282,3.23,2,93.7%
284,3.20,2,94.3%
286,3.19,3,95.0%
289,3.11,2,96.0%
291,3.10,2,96.7%
293,3.09,1,97.3%
294,3.06,2,97.7%
296,2.97,1,98.3%
297,2.96,1,98.7%
298,2.92,1,99.0%
299,2.89,1,99.3%
300,2.53,1,99.7%
