Rank,GPA,People,Top%
1,4.05,1,0.0%
2,4.00,1,0.3%
3,3.98,2,0.7%
5,3.97,1,1.3%
6,3.96,2,1.7%
8,3.95,1,2.3%
9,3.94,2,2.7%
11,3.93,4,3.3%
15,3.92,3,4.7%
18,3.91,2,5.7%
20,3.90,1,6.3%
21,3.89,2,6.7%
23,3.88,3,7.3%
26,3.87,3,8.3%
29,3.86,2,9.3%
31,3.85,3,10.0%
34,3.84,6,11.0%
40,3.83,4,13.0%
44,3.82,2,14.3%
46,3.80,6,15.0%
52,3.79,4,17.0%
56,3.78,8,18.3%
64,3.77,7,21.0%
71,3.76,8,23.3%
79,3.75,31,26.0%
110,3.74,26,36.3%
136,3.73,14,45.0%
150,3.71,15,49.7%
165,3.70,13,54.7%
178,3.69,21,59.0%
199,3.68,8,66.0%
207,3.67,12,68.7%
219,3.66,19,72.7%
238,3.65,13,79.0%
251,3.64,9,83.3%
260,3.62,4,86.3%
264,3.61,4,87.7%
268,3.60,10,89.0%
278,3.59,4,92.3%
282,3.58,2,93.7%
284,3.57,4,94.3%
288,3.56,3,95.7%
291,3.55,6,96.7%
297,3.53,2,98.7%
299,3.48,2,99.3%
