Rank,GPA,People,Top%
1,4.30,5,0.0%
6,4.29,4,1.7%
10,4.28,4,3.0%
14,4.27,2,4.3%
16,4.23,2,5.0%
18,4.22,3,5.7%
21,4.21,4,6.7%
25,4.20,8,8.0%
33,4.19,9,10.7%
42,4.18,2,13.7%
44,4.17,1,14.3%
45,4.16,14,14.7%
59,4.15,30,19.3%
89,4.14,32,29.3%
121,4.13,11,40.0%
132,4.12,20,43.7%
152,4.11,29,50.3%
181,4.10,36,60.0%
217,4.09,18,72.0%
235,4.08,4,78.0%
239,4.07,7,79.3%
246,4.06,19,81.7%
265,4.05,11,88.0%
276,4.04,14,91.7%
290,4.03,3,96.3%
293,4.02,4,97.3%
297,4.01,1,98.7%
298,4.00,1,99.0%
299,3.96,1,99.3%
300,3.85,1,99.7%
