Rank,GPA,People,Top%
1,4.20,1,0.0%
2,4.19,1,0.3%
3,4.15,1,0.7%
4,4.14,2,1.0%
6,4.13,3,1.7%
9,4.11,1,2.7%
10,4.10,5,3.0%
15,4.09,1,4.7%
16,4.06,4,5.0%
20,4.05,5,6.3%
25,4.04,2,8.0%
27,4.03,1,8.7%
28,4.02,5,9.0%
33,4.01,2,10.7%
35,4.00,4,11.3%
39,3.97,3,12.7%
42,3.96,7,13.7%
49,3.95,8,16.0%
57,3.93,6,18.7%
63,3.92,5,20.7%
68,3.91,3,22.3%
71,3.88,11,23.3%
82,3.87,7,27.0%
89,3.86,7,29.3%
96,3.85,1,31.7%
97,3.84,7,32.0%
104,3.83,5,34.3%
109,3.82,6,36.0%
115,3.81,1,38.0%
116,3.79,12,38.3%
128,3.78,7,42.3%
135,3.77,5,44.7%
140,3.76,1,46.3%
141,3.75,14,46.7%
155,3.74,9,51.3%
164,3.73,7,54.3%
171,3.70,9,56.7%
180,3.69,12,59.7%
192,3.68,8,63.7%
200,3.67,2,66.3%
202,3.66,4,67.0%
206,3.65,2,68.3%
208,3.64,3,69.0%
211,3.61,6,70.0%
217,3.60,7,72.0%
224,3.59,4,74.3%
228,3.58,2,75.7%
230,3.57,7,76.3%
237,3.56,6,78.7%
243,3.55,3,80.7%
246,3.54,1,81.7%
247,3.52,2,82.0%
249,3.51,4,82.7%
253,3.50,3,84.0%
256,3.47,8,85.0%
264,3.46,6,87.7%
270,3.45,4,89.7%
274,3.44,1,91.0%
275,3.43,2,91.3%
277,3.42,3,92.0%
280,3.41,1,93.0%
281,3.38,2,93.3%
283,3.37,1,94.0%
284,3.36,1,94.3%
285,3.35,1,94.7%
286,3.34,1,95.0%
287,3.33,1,95.3%
288,3.32,1,95.7%
289,3.27,1,96.0%
290,3.25,2,96.3%
292,3.19,3,97.0%
295,3.18,1,98.0%
296,3.14,1,98.3%
297,3.10,1,98.7%
298,3.09,1,99.0%
299,2.93,1,99.3%
300,2.80,1,99.7%
