Rank,GPA,People,Top%
1,4.30,2,0.0%
3,4.29,3,0.7%
6,4.25,1,1.7%
7,4.23,2,2.0%
9,4.22,2,2.7%
11,4.21,1,3.3%
12,4.20,1,3.7%
13,4.19,2,4.0%
15,4.18,1,4.7%
16,4.17,1,5.0%
17,4.16,2,5.3%
19,4.15,4,6.0%
23,4.14,1,7.3%
24,4.13,1,7.7%
25,4.12,1,8.0%
26,4.11,1,8.3%
27,4.10,2,8.7%
29,4.09,1,9.3%
30,4.06,4,9.7%
34,4.05,1,11.0%
35,4.02,7,11.3%
42,4.01,1,13.7%
43,3.99,2,14.0%
45,3.98,2,14.7%
47,3.97,3,15.3%
50,3.96,3,16.3%
53,3.95,2,17.3%
55,3.94,1,18.0%
56,3.93,4,18.3%
60,3.92,6,19.7%
66,3.90,1,21.7%
67,3.89,3,22.0%
70,3.88,4,23.0%
74,3.85,1,24.3%
75,3.84,5,24.7%
80,3.83,2,26.3%
82,3.82,3,27.0%
85,3.80,3,28.0%
88,3.79,10,29.0%
98,3.78,2,32.3%
100,3.77,3,33.0%
103,3.76,3,34.0%
106,3.75,6,35.0%
112,3.74,5,37.0%
117,3.71,2,38.7%
119,3.70,3,39.3%
122,3.69,6,40.3%
128,3.68,1,42.3%
129,3.67,5,42.7%
134,3.66,9,44.3%
143,3.65,7,47.3%
150,3.64,2,49.7%
152,3.62,5,50.3%
157,3.61,6,52.0%
163,3.60,9,54.0%
172,3.58,1,57.0%
173,3.57,3,57.3%
176,3.56,8,58.3%
184,3.55,5,61.0%
189,3.54,1,62.7%
190,3.53,6,63.0%
196,3.52,10,65.0%
206,3.51,2,68.3%
208,3.50,1,69.0%
209,3.48,4,69.3%
213,3.47,3,70.7%
216,3.46,3,71.7%
219,3.45,3,72.7%
222,3.44,3,73.7%
225,3.43,1,74.7%
226,3.42,6,75.0%
232,3.41,1,77.0%
233,3.40,2,77.3%
235,3.39,2,78.0%
237,3.38,4,78.7%
241,3.37,2,80.0%
243,3.35,2,80.7%
245,3.34,5,81.3%
250,3.33,1,83.0%
251,3.32,3,83.3%
254,3.30,2,84.3%
256,3.29,5,85.0%
261,3.28,2,86.7%
263,3.27,1,87.3%
264,3.26,1,87.7%
265,3.25,6,88.0%
271,3.24,3,90.0%
274,3.23,1,91.0%
275,3.21,3,91.3%
278,3.20,3,92.3%
281,3.19,3,93.3%
284,3.18,2,94.3%
286,3.16,1,95.0%
287,3.15,1,95.3%
288,3.06,1,95.7%
289,3.02,2,96.0%
291,3.01,1,96.7%
292,2.98,1,97.0%
293,2.96,1,97.3%
294,2.92,1,97.7%
295,2.91,1,98.0%
296,2.90,1,98.3%
297,2.83,1,98.7%
298,2.81,1,99.0%
299,2.79,1,99.3%
300,2.52,1,99.7%
