Rank,GPA,People,Top%
1,4.11,1,0.0%
2,4.09,2,0.3%
4,4.02,2,1.0%
6,3.98,2,1.7%
8,3.97,2,2.3%
10,3.96,2,3.0%
12,3.94,1,3.7%
13,3.93,4,4.0%
17,3.92,1,5.3%
18,3.91,1,5.7%
19,3.89,2,6.0%
21,3.88,5,6.7%
26,3.87,4,8.3%
30,3.86,3,9.7%
33,3.85,6,10.7%
39,3.84,12,12.7%
51,3.83,12,16.7%
63,3.82,1,20.7%
64,3.80,2,21.0%
66,3.79,10,21.7%
76,3.78,6,25.0%
82,3.77,6,27.0%
88,3.76,4,29.0%
92,3.75,10,30.3%
102,3.74,9,33.7%
111,3.73,2,36.7%
113,3.71,17,37.3%
130,3.70,24,43.0%
154,3.69,21,51.0%
175,3.68,5,58.0%
180,3.67,10,59.7%
190,3.66,25,63.0%
215,3.65,18,71.3%
233,3.64,19,77.3%
252,3.62,8,83.7%
260,3.61,11,86.3%
271,3.60,6,90.0%
277,3.59,3,92.0%
280,3.58,4,93.0%
284,3.57,7,94.3%
291,3.56,5,96.7%
296,3.55,2,98.3%
298,3.54,2,99.0%
300,3.50,1,99.7%
