Rank,GPA,People,Top%
1,4.30,26,0.0%
27,4.29,17,8.7%
44,4.28,15,14.3%
59,4.27,2,19.3%
61,4.25,1,20.0%
62,4.24,12,20.3%
74,4.23,8,24.3%
82,4.22,7,27.0%
89,4.21,1,29.3%
90,4.20,10,29.7%
100,4.19,13,33.0%
113,4.18,5,37.3%
118,4.15,12,39.0%
130,4.14,7,43.0%
137,4.13,8,45.3%
145,4.12,3,48.0%
148,4.11,13,49.0%
161,4.10,11,53.3%
172,4.09,3,57.0%
175,4.06,8,58.0%
183,4.05,7,60.7%
190,4.04,3,63.0%
193,4.02,4,64.0%
197,4.01,11,65.3%
208,4.00,3,69.0%
211,3.98,1,70.0%
212,3.97,4,70.3%
216,3.96,7,71.7%
223,3.95,5,74.0%
228,3.94,1,75.7%
229,3.93,6,76.0%
235,3.92,6,78.0%
241,3.91,1,80.0%
242,3.89,1,80.3%
243,3.88,5,80.7%
248,3.87,4,82.3%
252,3.86,2,83.7%
254,3.84,3,84.3%
257,3.83,2,85.3%
259,3.82,2,86.0%
261,3.79,2,86.7%
263,3.78,1,87.3%
264,3.75,3,87.7%
267,3.74,2,88.7%
269,3.73,2,89.3%
271,3.71,1,90.0%
272,3.70,4,90.3%
276,3.68,2,91.7%
278,3.67,1,92.3%
279,3.64,2,92.7%
281,3.63,1,93.3%
282,3.61,1,93.7%
283,3.60,3,94.0%
286,3.59,1,95.0%
287,3.57,1,95.3%
288,3.56,1,95.7%
289,3.52,2,96.0%
291,3.51,2,96.7%
293,3.47,2,97.3%
295,3.46,1,98.0%
296,3.38,1,98.3%
297,3.34,1,98.7%
298,3.28,1,99.0%
299,3.18,1,99.3%
300,3.02,1,99.7%
