Rank,GPA,People,Top%
1,4.30,11,0.0%
12,4.29,8,3.7%
20,4.19,2,6.3%
22,4.17,2,7.0%
24,4.14,4,7.7%
28,4.12,2,9.0%
30,4.11,2,9.7%
32,4.10,3,10.3%
35,4.08,2,11.3%
37,4.07,1,12.0%
38,4.06,1,12.3%
39,4.01,7,12.7%
46,4.00,3,15.0%
49,3.99,3,16.0%
52,3.96,7,17.0%
59,3.95,5,19.3%
64,3.94,4,21.0%
68,3.93,1,22.3%
69,3.92,4,22.7%
73,3.90,5,24.0%
78,3.89,3,25.7%
81,3.88,5,26.7%
86,3.87,3,28.3%
89,3.86,7,29.3%
96,3.84,5,31.7%
101,3.83,3,33.3%
104,3.82,5,34.3%
109,3.81,6,36.0%
115,3.80,3,38.0%
118,3.78,2,39.0%
120,3.77,1,39.7%
121,3.76,2,40.0%
123,3.72,6,40.7%
129,3.71,3,42.7%
132,3.70,1,43.7%
133,3.68,1,44.0%
134,3.67,2,44.3%
136,3.66,2,45.0%
138,3.64,4,45.7%
142,3.61,3,47.0%
145,3.60,2,48.0%
147,3.58,3,48.7%
150,3.56,2,49.7%
152,3.55,2,50.3%
154,3.53,4,51.0%
158,3.52,1,52.3%
159,3.50,4,52.7%
163,3.48,3,54.0%
166,3.47,3,55.0%
169,3.45,1,56.0%
170,3.44,6,56.3%
176,3.42,3,58.3%
179,3.39,1,59.3%
180,3.36,3,59.7%
183,3.33,3,60.7%
186,3.32,1,61.7%
187,3.30,1,62.0%
188,3.29,2,62.3%
190,3.28,1,63.0%
191,3.27,3,63.3%
194,3.26,1,64.3%
195,3.24,1,64.7%
196,3.22,1,65.0%
197,3.21,1,65.3%
198,3.20,2,65.7%
200,3.17,1,66.3%
201,3.15,2,66.7%
203,3.14,3,67.3%
206,3.13,2,68.3%
208,3.12,3,69.0%
211,3.11,3,70.0%
214,3.08,5,71.0%
219,3.05,4,72.7%
223,3.04,1,74.0%
224,3.03,2,74.3%
226,3.00,5,75.0%
231,2.99,3,76.7%
234,2.98,2,77.7%
236,2.97,1,78.3%
237,2.96,6,78.7%
243,2.94,1,80.7%
244,2.93,1,81.0%
245,2.92,1,81.3%
246,2.91,1,81.7%
247,2.90,2,82.0%
249,2.89,1,82.7%
250,2.88,1,83.0%
251,2.87,1,83.3%
252,2.86,2,83.7%
254,2.84,2,84.3%
256,2.82,1,85.0%
257,2.81,1,85.3%
258,2.80,1,85.7%
259,2.78,2,86.0%
261,2.77,2,86.7%
263,2.76,3,87.3%
266,2.75,1,88.3%
267,2.74,1,88.7%
268,2.73,2,89.0%
270,2.72,1,89.7%
271,2.69,1,90.0%
272,2.67,1,90.3%
273,2.66,1,90.7%
274,2.65,3,91.0%
277,2.64,1,92.0%
278,2.63,1,92.3%
279,2.62,1,92.7%
280,2.60,1,93.0%
281,2.58,1,93.3%
282,2.54,1,93.7%
283,2.52,1,94.0%
284,2.51,1,94.3%
285,2.49,2,94.7%
287,2.47,1,95.3%
288,2.46,1,95.7%
289,2.44,1,96.0%
290,2.39,1,96.3%
291,2.38,1,96.7%
292,2.34,1,97.0%
293,2.33,2,97.3%
295,2.24,1,98.0%
296,2.16,1,98.3%
297,2.15,1,98.7%
298,2.14,1,99.0%
299,1.93,1,99.3%
300,1.26,1,99.7%
