Rank,GPA,People,Top%
1,2.89,1,0.0%
2,2.88,2,0.3%
4,2.85,1,1.0%
5,2.84,1,1.3%
6,2.80,5,1.7%
11,2.79,2,3.3%
13,2.78,1,4.0%
14,2.77,1,4.3%
15,2.75,1,4.7%
16,2.74,1,5.0%
17,2.71,4,5.3%
21,2.70,5,6.7%
26,2.69,1,8.3%
27,2.66,7,8.7%
34,2.65,3,11.0%
37,2.64,3,12.0%
40,2.62,1,13.0%
41,2.61,6,13.3%
47,2.60,4,15.3%
51,2.59,2,16.7%
53,2.57,2,17.3%
55,2.56,2,18.0%
57,2.55,1,18.7%
58,2.53,1,19.0%
59,2.52,7,19.3%
66,2.51,7,21.7%
73,2.50,2,24.0%
75,2.48,9,24.7%
84,2.47,7,27.7%
91,2.46,2,30.0%
93,2.44,1,30.7%
94,2.43,4,31.0%
98,2.42,8,32.3%
106,2.41,5,35.0%
111,2.39,6,36.7%
117,2.38,8,38.7%
125,2.37,2,41.3%
127,2.36,1,42.0%
128,2.35,1,42.3%
129,2.34,8,42.7%
137,2.33,12,45.3%
149,2.32,4,49.3%
153,2.30,6,50.7%
159,2.29,9,52.7%
168,2.28,7,55.7%
175,2.25,20,58.0%
195,2.24,11,64.7%
206,2.23,6,68.3%
212,2.21,10,70.3%
222,2.20,11,73.7%
233,2.19,7,77.3%
240,2.17,1,79.7%
241,2.16,16,80.0%
257,2.15,7,85.3%
264,2.14,5,87.7%
269,2.12,8,89.3%
277,2.11,7,92.0%
284,2.10,5,94.3%
289,2.07,2,96.0%
291,2.06,4,96.7%
295,2.05,2,98.0%
297,2.02,1,98.7%
298,2.01,2,99.0%
300,2.00,1,99.7%
