Rank,GPA,People,Top%
1,3.33,1,0.0%
2,3.32,1,0.3%
3,3.30,1,0.7%
4,3.29,4,1.0%
8,3.28,1,2.3%
9,3.25,3,2.7%
12,3.24,3,3.7%
15,3.20,6,4.7%
21,3.19,8,6.7%
29,3.18,5,9.3%
34,3.16,8,11.0%
42,3.15,11,13.7%
53,3.14,2,17.3%
55,3.13,1,18.0%
56,3.11,15,18.3%
71,3.10,13,23.3%
84,3.09,7,27.7%
91,3.08,2,30.0%
93,3.07,10,30.7%
103,3.06,9,34.0%
112,3.05,4,37.0%
116,3.04,2,38.3%
118,3.02,14,39.0%
132,3.01,12,43.7%
144,3.00,5,47.7%
149,2.99,2,49.3%
151,2.98,19,50.0%
170,2.97,8,56.3%
178,2.96,13,59.0%
191,2.95,1,63.3%
192,2.94,1,63.7%
193,2.93,7,64.0%
200,2.92,12,66.3%
212,2.91,6,70.3%
218,2.90,1,72.3%
219,2.89,12,72.7%
231,2.88,11,76.7%
242,2.87,3,80.3%
245,2.84,7,81.3%
252,2.83,9,83.7%
261,2.82,10,86.7%
271,2.80,2,90.0%
273,2.79,4,90.7%
277,2.78,3,92.0%
280,2.77,1,93.0%
281,2.76,1,93.3%
282,2.75,4,93.7%
286,2.74,2,95.0%
288,2.73,3,95.7%
291,2.71,3,96.7%
294,2.70,2,97.7%
296,2.66,3,98.3%
299,2.65,1,99.3%
300,2.61,1,99.7%
