Rank,GPA,People,Top%
1,4.30,43,0.0%
44,4.29,35,14.3%
79,4.28,12,26.0%
91,4.27,3,30.0%
94,4.26,1,31.0%
95,4.24,12,31.3%
107,4.23,9,35.3%
116,4.22,8,38.3%
124,4.21,2,41.0%
126,4.20,5,41.7%
131,4.19,12,43.3%
143,4.18,2,47.3%
145,4.16,1,48.0%
146,4.15,9,48.3%
155,4.14,2,51.3%
157,4.13,4,52.0%
161,4.11,7,53.3%
168,4.10,6,55.7%
174,4.09,11,57.7%
185,4.08,1,61.3%
186,4.06,7,61.7%
193,4.05,5,64.0%
198,4.04,3,65.7%
201,4.03,1,66.7%
202,4.02,5,67.0%
207,4.01,9,68.7%
216,4.00,5,71.7%
221,3.97,7,73.3%
228,3.96,12,75.7%
240,3.95,6,79.7%
246,3.93,2,81.7%
248,3.92,10,82.3%
258,3.91,5,85.7%
263,3.89,1,87.3%
264,3.88,7,87.7%
271,3.87,3,90.0%
274,3.86,1,91.0%
275,3.85,2,91.3%
277,3.84,7,92.0%
284,3.83,5,94.3%
289,3.82,2,96.0%
291,3.80,1,96.7%
292,3.79,4,97.0%
296,3.78,3,98.3%
299,3.77,1,99.3%
300,3.73,1,99.7%
