Rank,GPA,People,Top%
1,4.01,1,0.0%
2,3.96,1,0.3%
3,3.93,2,0.7%
5,3.92,1,1.3%
6,3.91,1,1.7%
7,3.89,1,2.0%
8,3.88,1,2.3%
9,3.87,3,2.7%
12,3.86,2,3.7%
14,3.85,1,4.3%
15,3.84,3,4.7%
18,3.83,4,5.7%
22,3.81,1,7.0%
23,3.79,6,7.3%
29,3.78,3,9.3%
32,3.77,1,10.3%
33,3.76,2,10.7%
35,3.75,13,11.3%
48,3.74,4,15.7%
52,3.73,6,17.0%
58,3.70,9,19.0%
67,3.69,11,22.0%
78,3.68,3,25.7%
81,3.67,2,26.7%
83,3.66,6,27.3%
89,3.65,8,29.3%
97,3.64,2,32.0%
99,3.62,1,32.7%
100,3.61,17,33.0%
117,3.60,12,38.7%
129,3.59,7,42.7%
136,3.57,16,45.0%
152,3.56,15,50.3%
167,3.55,6,55.3%
173,3.54,1,57.3%
174,3.53,1,57.7%
175,3.52,12,58.0%
187,3.51,16,62.0%
203,3.50,5,67.3%
208,3.48,1,69.0%
209,3.47,16,69.3%
225,3.46,16,74.7%
241,3.45,10,80.0%
251,3.44,2,83.3%
253,3.43,11,84.0%
264,3.42,9,87.7%
273,3.41,6,90.7%
279,3.38,4,92.7%
283,3.37,11,94.0%
294,3.36,2,97.7%
296,3.35,1,98.3%
297,3.34,2,98.7%
299,3.33,2,99.3%
