Rank,GPA,People,Top%
1,4.30,7,0.0%
8,4.29,5,2.3%
13,4.28,5,4.0%
18,4.24,4,5.7%
22,4.23,3,7.0%
25,4.22,2,8.0%
27,4.21,1,8.7%
28,4.20,6,9.0%
34,4.19,4,11.0%
38,4.18,2,12.3%
40,4.15,5,13.0%
45,4.14,2,14.7%
47,4.13,2,15.3%
49,4.12,2,16.0%
51,4.11,4,16.7%
55,4.10,3,18.0%
58,4.09,2,19.0%
60,4.06,5,19.7%
65,4.05,6,21.3%
71,4.04,2,23.3%
73,4.03,1,24.0%
74,4.02,6,24.3%
80,4.01,4,26.3%
84,3.97,10,27.7%
94,3.96,3,31.0%
97,3.95,5,32.0%
102,3.94,1,33.7%
103,3.93,8,34.0%
111,3.92,7,36.7%
118,3.91,5,39.0%
123,3.89,2,40.7%
125,3.88,9,41.3%
134,3.87,5,44.3%
139,3.86,6,46.0%
145,3.85,1,48.0%
146,3.84,5,48.3%
151,3.83,6,50.0%
157,3.82,2,52.0%
159,3.79,5,52.7%
164,3.78,13,54.3%
177,3.77,7,58.7%
184,3.75,6,61.0%
190,3.74,6,63.0%
196,3.73,4,65.0%
200,3.70,8,66.3%
208,3.69,4,69.0%
212,3.68,5,70.3%
217,3.67,1,72.0%
218,3.66,6,72.3%
224,3.65,2,74.3%
226,3.64,2,75.0%
228,3.61,2,75.7%
230,3.60,5,76.3%
235,3.59,3,78.0%
238,3.58,2,79.0%
240,3.57,6,79.7%
246,3.56,3,81.7%
249,3.55,3,82.7%
252,3.52,2,83.7%
254,3.51,5,84.3%
259,3.47,2,86.0%
261,3.46,3,86.7%
264,3.45,3,87.7%
267,3.43,7,88.7%
274,3.42,2,91.0%
276,3.40,1,91.7%
277,3.38,3,92.0%
280,3.37,2,93.0%
282,3.36,1,93.7%
283,3.34,3,94.0%
286,3.33,2,95.0%
288,3.32,2,95.7%
290,3.25,1,96.3%
291,3.19,1,96.7%
292,3.16,2,97.0%
294,3.15,1,97.7%
295,3.14,1,98.0%
296,3.10,1,98.3%
297,3.06,1,98.7%
298,2.91,1,99.0%
299,2.90,1,99.3%
300,2.88,1,99.7%
